"","A201-BCP001-BIO0001-TT00026.BIO-BIO-TEM-CTR","A201-BCP001-BIO0001-AIT0024.BIO-DOX-DOX-CTR","A201-BCP001-BIO0001-AIT0022.BIO-PH1-PHZ-CTR",""
"Time","Value | First","Value | First","Value | First",""
"6/17/2025 11:45:00 PM","36.93","61.39","6.86",""
"6/18/2025 12:00:00 AM","36.82","58.43","6.87",""
"6/18/2025 12:15:00 AM","36.95","62.15","6.87",""
"6/18/2025 12:30:00 AM","36.94","63.31","6.89",""
"6/18/2025 12:45:00 AM","37.06","59.93","6.89",""
"6/18/2025 1:00:00 AM","37.10","59.67","6.89",""
"6/18/2025 1:15:00 AM","37.09","63.94","6.89",""
"6/18/2025 1:30:00 AM","37.01","61.75","6.89",""
"6/18/2025 1:45:00 AM","37.02","58.43","6.89",""
"6/18/2025 2:00:00 AM","36.98","59.99","6.89",""
"6/18/2025 2:15:00 AM","37.02","63.96","6.89",""
"6/18/2025 2:30:00 AM","37.01","62.41","6.89",""
"6/18/2025 2:45:00 AM","36.94","58.46","6.89",""
"6/18/2025 3:00:00 AM","37.00","61.04","6.89",""
"6/18/2025 3:15:00 AM","37.00","64.09","6.89",""
"6/18/2025 3:30:00 AM","37.01","61.80","6.89",""
"6/18/2025 3:45:00 AM","36.95","58.67","6.89",""
"6/18/2025 4:00:00 AM","37.04","59.18","6.88",""
"6/18/2025 4:15:00 AM","37.06","63.46","6.88",""
"6/18/2025 4:30:00 AM","37.02","63.10","6.88",""
"6/18/2025 4:45:00 AM","37.10","58.60","6.88",""
"6/18/2025 5:00:00 AM","37.03","60.97","6.88",""
"6/18/2025 5:15:00 AM","36.94","64.03","6.88",""
"6/18/2025 5:30:00 AM","37.00","62.11","6.88",""
"6/18/2025 5:45:00 AM","36.95","59.08","6.88",""
"6/18/2025 6:00:00 AM","37.04","58.25","6.88",""
"6/18/2025 6:15:00 AM","36.98","60.72","6.88",""
"6/18/2025 6:30:00 AM","36.95","63.92","6.88",""
"6/18/2025 6:45:00 AM","36.97","63.42","6.88",""
"6/18/2025 7:00:00 AM","36.99","60.91","6.88",""
"6/18/2025 7:15:00 AM","36.97","58.97","6.88",""
"6/18/2025 7:30:00 AM","37.06","58.11","6.88",""
"6/18/2025 7:45:00 AM","37.01","59.91","6.88",""
"6/18/2025 8:00:00 AM","36.94","62.97","6.88",""
"6/18/2025 8:15:00 AM","36.99","63.84","6.88",""
"6/18/2025 8:30:00 AM","37.04","53.23","6.88",""
"6/18/2025 8:45:00 AM","37.00","58.71","6.88",""
"6/18/2025 9:00:00 AM","36.99","58.35","6.88",""
"6/18/2025 9:15:00 AM","36.96","59.24","6.88",""
"6/18/2025 9:30:00 AM","37.02","62.29","6.88",""
"6/18/2025 9:45:00 AM","36.92","63.63","6.88",""
"6/18/2025 10:00:00 AM","36.99","63.10","6.88",""
"6/18/2025 10:15:00 AM","37.07","60.24","6.88",""
"6/18/2025 10:30:00 AM","37.04","58.22","6.88",""
"6/18/2025 10:45:00 AM","36.97","57.90","6.88",""
"6/18/2025 11:00:00 AM","37.08","61.07","6.88",""
"6/18/2025 11:15:00 AM","37.00","63.35","6.88",""
"6/18/2025 11:30:00 AM","36.96","63.51","6.88",""
"6/18/2025 11:45:00 AM","37.02","62.05","6.88",""
"6/18/2025 12:00:00 PM","37.00","59.82","6.88",""
"6/18/2025 12:15:00 PM","37.04","57.78","6.88",""
"6/18/2025 12:30:00 PM","37.00","58.60","6.88",""
"6/18/2025 12:45:00 PM","37.05","61.62","6.88",""
"6/18/2025 1:00:00 PM","37.01","63.59","6.88",""
"6/18/2025 1:15:00 PM","37.02","63.46","6.88",""
"6/18/2025 1:30:00 PM","37.04","60.77","6.88",""
"6/18/2025 1:45:00 PM","36.95","59.65","6.87",""
"6/18/2025 2:00:00 PM","37.02","58.33","6.87",""
"6/18/2025 2:15:00 PM","37.00","58.02","6.87",""
"6/18/2025 2:30:00 PM","37.05","59.20","6.87",""
"6/18/2025 2:45:00 PM","37.09","61.76","6.87",""
"6/18/2025 3:00:00 PM","36.97","63.49","6.87",""
"6/18/2025 3:15:00 PM","36.92","63.35","6.87",""
"6/18/2025 3:30:00 PM","37.06","62.31","6.87",""
"6/18/2025 3:45:00 PM","37.01","60.86","6.87",""
"6/18/2025 4:00:00 PM","37.04","59.10","6.87",""
"6/18/2025 4:15:00 PM","36.98","57.75","6.87",""
"6/18/2025 4:30:00 PM","37.02","60.98","6.87",""
"6/18/2025 4:45:00 PM","36.96","63.59","6.87",""
"6/18/2025 5:00:00 PM","36.92","62.54","6.87",""
"6/18/2025 5:15:00 PM","37.00","60.95","6.88",""
"6/18/2025 5:30:00 PM","37.09","59.51","6.88",""
"6/18/2025 5:45:00 PM","36.99","58.32","6.88",""
"6/18/2025 6:00:00 PM","37.03","60.04","6.88",""
"6/18/2025 6:15:00 PM","37.05","63.38","6.88",""
"6/18/2025 6:30:00 PM","36.93","61.46","6.88",""
"6/18/2025 6:45:00 PM","36.94","57.92","6.88",""
"6/18/2025 7:00:00 PM","36.97","58.44","6.88",""
"6/18/2025 7:15:00 PM","36.94","62.88","6.88",""
"6/18/2025 7:30:00 PM","37.00","61.85","6.88",""
"6/18/2025 7:45:00 PM","36.95","57.62","6.88",""
"6/18/2025 8:00:00 PM","36.95","60.56","6.88",""
"6/18/2025 8:15:00 PM","36.99","63.17","6.88",""
"6/18/2025 8:30:00 PM","36.99","59.31","6.88",""
"6/18/2025 8:45:00 PM","37.09","59.97","6.88",""
"6/18/2025 9:00:00 PM","36.98","62.29","6.88",""
"6/18/2025 9:15:00 PM","36.97","62.04","6.88",""
"6/18/2025 9:30:00 PM","36.98","57.04","6.88",""
"6/18/2025 9:45:00 PM","36.96","63.26","6.88",""
"6/18/2025 10:00:00 PM","36.99","56.93","6.88",""
"6/18/2025 10:15:00 PM","37.03","62.40","6.88",""
"6/18/2025 10:30:00 PM","37.02","61.37","6.88",""
"6/18/2025 10:45:00 PM","37.03","57.94","6.88",""
"6/18/2025 11:00:00 PM","36.99","62.62","6.88",""
"6/18/2025 11:15:00 PM","37.01","57.18","6.88",""
"6/18/2025 11:30:00 PM","36.94","63.16","6.88",""
"6/18/2025 11:45:00 PM","36.94","57.03","6.88",""
"6/19/2025 12:00:00 AM","36.93","61.81","6.88",""
"6/19/2025 12:15:00 AM","37.01","57.35","6.88",""
"6/19/2025 12:30:00 AM","37.00","59.70","6.88",""
"6/19/2025 12:45:00 AM","37.04","62.60","6.88",""
"6/19/2025 1:00:00 AM","37.03","56.51","6.88",""
"6/19/2025 1:15:00 AM","36.98","56.85","6.88",""
"6/19/2025 1:30:00 AM","36.97","57.67","6.88",""
"6/19/2025 1:45:00 AM","37.00","60.25","6.88",""
"6/19/2025 2:00:00 AM","37.01","61.68","6.88",""
"6/19/2025 2:15:00 AM","36.92","62.53","6.88",""
"6/19/2025 2:30:00 AM","36.99","61.89","6.88",""
"6/19/2025 2:45:00 AM","37.04","63.01","6.88",""
"6/19/2025 3:00:00 AM","36.96","62.33","6.88",""
"6/19/2025 3:15:00 AM","36.95","60.05","6.88",""
"6/19/2025 3:30:00 AM","37.03","57.61","6.88",""
"6/19/2025 3:45:00 AM","36.97","56.75","6.88",""
"6/19/2025 4:00:00 AM","37.04","58.88","6.89",""
"6/19/2025 4:15:00 AM","36.94","58.79","6.89",""
"6/19/2025 4:30:00 AM","37.02","60.56","6.89",""
"6/19/2025 4:45:00 AM","37.05","61.43","6.89",""
"6/19/2025 5:00:00 AM","37.03","61.06","6.89",""
"6/19/2025 5:15:00 AM","36.99","61.31","6.89",""
"6/19/2025 5:30:00 AM","36.94","60.97","6.89",""
"6/19/2025 5:45:00 AM","36.97","60.72","6.89",""
"6/19/2025 6:00:00 AM","36.91","59.90","6.89",""
"6/19/2025 6:15:00 AM","37.01","58.71","6.89",""
"6/19/2025 6:30:00 AM","37.00","59.29","6.89",""
"6/19/2025 6:45:00 AM","37.06","61.76","6.89",""
"6/19/2025 7:00:00 AM","37.03","58.98","6.89",""
"6/19/2025 7:15:00 AM","36.99","61.39","6.88",""
"6/19/2025 7:30:00 AM","37.05","58.64","6.88",""
"6/19/2025 7:45:00 AM","37.01","60.15","6.88",""
"6/19/2025 8:00:00 AM","36.97","60.07","6.88",""
"6/19/2025 8:15:00 AM","37.09","59.42","6.88",""
"6/19/2025 8:30:00 AM","37.04","58.98","6.88",""
"6/19/2025 8:45:00 AM","37.01","59.98","6.88",""
"6/19/2025 9:00:00 AM","37.08","60.87","6.88",""
"6/19/2025 9:15:00 AM","36.99","59.48","6.88",""
"6/19/2025 9:30:00 AM","37.00","60.65","6.88",""
"6/19/2025 9:45:00 AM","37.03","59.94","6.88",""
"6/19/2025 10:00:00 AM","36.94","59.58","6.88",""
"6/19/2025 10:15:00 AM","37.02","60.57","6.88",""
"6/19/2025 10:30:00 AM","37.11","59.77","6.88",""
"6/19/2025 10:45:00 AM","37.11","60.31","6.88",""
"6/19/2025 11:00:00 AM","36.92","59.72","6.88",""
"6/19/2025 11:15:00 AM","37.01","60.02","6.88",""
"6/19/2025 11:30:00 AM","37.07","60.08","6.87",""
"6/19/2025 11:45:00 AM","37.09","59.87","6.87",""
"6/19/2025 12:00:00 PM","36.95","59.71","6.87",""
"6/19/2025 12:15:00 PM","37.01","59.66","6.87",""
"6/19/2025 12:30:00 PM","37.04","59.39","6.87",""
"6/19/2025 12:45:00 PM","37.04","60.57","6.87",""
"6/19/2025 1:00:00 PM","37.00","59.11","6.87",""
"6/19/2025 1:15:00 PM","36.86","61.27","6.87",""
"6/19/2025 1:30:00 PM","36.99","59.87","6.87",""
"6/19/2025 1:45:00 PM","36.93","59.49","6.87",""
"6/19/2025 2:00:00 PM","36.97","60.07","6.87",""
"6/19/2025 2:15:00 PM","37.02","59.65","6.87",""
"6/19/2025 2:30:00 PM","37.00","59.56","6.87",""
"6/19/2025 2:45:00 PM","36.98","60.51","6.87",""
"6/19/2025 3:00:00 PM","37.13","59.99","6.87",""
"6/19/2025 3:15:00 PM","37.00","60.04","6.87",""
"6/19/2025 3:30:00 PM","36.99","60.08","6.87",""
"6/19/2025 3:45:00 PM","36.95","60.21","6.87",""
"6/19/2025 4:00:00 PM","36.94","59.67","6.87",""
"6/19/2025 4:15:00 PM","36.98","60.12","6.88",""
"6/19/2025 4:30:00 PM","36.94","59.86","6.88",""
"6/19/2025 4:45:00 PM","36.98","59.71","6.88",""
"6/19/2025 5:00:00 PM","37.02","59.99","6.88",""
"6/19/2025 5:15:00 PM","36.99","59.56","6.88",""
"6/19/2025 5:30:00 PM","37.02","59.61","6.88",""
"6/19/2025 5:45:00 PM","37.03","60.17","6.88",""
"6/19/2025 6:00:00 PM","37.03","60.44","6.88",""
"6/19/2025 6:15:00 PM","36.98","59.85","6.88",""
"6/19/2025 6:30:00 PM","37.00","60.10","6.88",""
"6/19/2025 6:45:00 PM","37.03","60.03","6.88",""
"6/19/2025 7:00:00 PM","37.10","60.45","6.88",""
"6/19/2025 7:15:00 PM","36.91","59.81","6.88",""
"6/19/2025 7:30:00 PM","37.03","60.35","6.88",""
"6/19/2025 7:45:00 PM","37.04","60.49","6.88",""
"6/19/2025 8:00:00 PM","36.99","59.78","6.88",""
"6/19/2025 8:15:00 PM","36.99","59.48","6.88",""
"6/19/2025 8:30:00 PM","37.05","60.03","6.88",""
"6/19/2025 8:45:00 PM","36.96","60.06","6.88",""
"6/19/2025 9:00:00 PM","37.03","60.21","6.88",""
"6/19/2025 9:15:00 PM","37.05","59.86","6.88",""
"6/19/2025 9:30:00 PM","37.00","59.44","6.88",""
"6/19/2025 9:45:00 PM","36.95","59.96","6.88",""
"6/19/2025 10:00:00 PM","37.06","60.74","6.87",""
"6/19/2025 10:15:00 PM","37.00","60.24","6.87",""
"6/19/2025 10:30:00 PM","36.99","59.24","6.87",""
"6/19/2025 10:45:00 PM","36.94","59.31","6.87",""
"6/19/2025 11:00:00 PM","36.93","60.24","6.87",""
"6/19/2025 11:15:00 PM","37.03","60.49","6.87",""
"6/19/2025 11:30:00 PM","37.08","60.53","6.87",""
"6/19/2025 11:45:00 PM","36.93","59.68","6.87",""
"6/20/2025 12:00:00 AM","36.98","59.86","6.87",""
"6/20/2025 12:15:00 AM","36.96","59.65","6.87",""
"6/20/2025 12:30:00 AM","37.06","59.96","6.87",""
"6/20/2025 12:45:00 AM","37.06","60.44","6.87",""
"6/20/2025 1:00:00 AM","37.02","60.14","6.87",""
"6/20/2025 1:15:00 AM","36.93","59.71","6.87",""
"6/20/2025 1:30:00 AM","37.01","60.22","6.87",""
"6/20/2025 1:45:00 AM","36.94","60.20","6.87",""
"6/20/2025 2:00:00 AM","36.99","60.27","6.87",""
"6/20/2025 2:15:00 AM","36.99","60.04","6.87",""
"6/20/2025 2:30:00 AM","36.94","60.12","6.87",""
"6/20/2025 2:45:00 AM","37.04","59.62","6.87",""
"6/20/2025 3:00:00 AM","37.01","60.13","6.87",""
"6/20/2025 3:15:00 AM","37.02","60.14","6.87",""
"6/20/2025 3:30:00 AM","37.01","60.08","6.87",""
"6/20/2025 3:45:00 AM","37.00","59.97","6.87",""
"6/20/2025 4:00:00 AM","36.98","60.02","6.87",""
"6/20/2025 4:15:00 AM","36.91","59.87","6.87",""
"6/20/2025 4:30:00 AM","36.92","60.01","6.87",""
"6/20/2025 4:45:00 AM","37.02","59.81","6.87",""
"6/20/2025 5:00:00 AM","37.06","60.39","6.87",""
"6/20/2025 5:15:00 AM","36.98","60.09","6.87",""
"6/20/2025 5:30:00 AM","37.09","60.08","6.88",""
"6/20/2025 5:45:00 AM","36.97","60.02","6.88",""
"6/20/2025 6:00:00 AM","36.99","60.52","6.88",""
"6/20/2025 6:15:00 AM","37.04","60.25","6.88",""
"6/20/2025 6:30:00 AM","37.06","59.98","6.88",""
"6/20/2025 6:45:00 AM","36.95","59.61","6.88",""
"6/20/2025 7:00:00 AM","36.98","59.76","6.88",""
"6/20/2025 7:15:00 AM","36.99","59.72","6.88",""
"6/20/2025 7:30:00 AM","37.04","59.61","6.88",""
"6/20/2025 7:45:00 AM","36.99","60.05","6.88",""
"6/20/2025 8:00:00 AM","37.01","60.68","6.88",""
"6/20/2025 8:15:00 AM","37.01","60.72","6.88",""
"6/20/2025 8:30:00 AM","37.03","60.18","6.88",""
"6/20/2025 8:45:00 AM","36.97","60.57","6.88",""
"6/20/2025 9:00:00 AM","36.99","60.58","6.88",""
"6/20/2025 9:15:00 AM","37.03","60.36","6.88",""
"6/20/2025 9:30:00 AM","36.96","59.91","6.88",""
"6/20/2025 9:45:00 AM","36.94","60.00","6.88",""
"6/20/2025 10:00:00 AM","37.00","60.27","6.88",""
"6/20/2025 10:15:00 AM","36.98","60.16","6.88",""
"6/20/2025 10:30:00 AM","37.03","59.99","6.88",""
"6/20/2025 10:45:00 AM","36.97","59.89","6.91",""
"6/20/2025 11:00:00 AM","37.01","60.52","6.91",""
"6/20/2025 11:15:00 AM","37.00","60.32","6.91",""
"6/20/2025 11:30:00 AM","36.97","59.79","6.91",""
"6/20/2025 11:45:00 AM","37.06","59.59","6.90",""
"6/20/2025 12:00:00 PM","37.01","60.47","6.90",""
"6/20/2025 12:15:00 PM","37.03","60.31","6.90",""
"6/20/2025 12:30:00 PM","37.02","60.19","6.90",""
"6/20/2025 12:45:00 PM","36.99","60.34","6.90",""
"6/20/2025 1:00:00 PM","37.02","60.26","6.90",""
"6/20/2025 1:15:00 PM","37.03","60.03","6.90",""
"6/20/2025 1:30:00 PM","37.00","59.89","6.90",""
"6/20/2025 1:45:00 PM","36.99","59.72","6.90",""
"6/20/2025 2:00:00 PM","37.05","60.07","6.90",""
"6/20/2025 2:15:00 PM","37.02","60.13","6.90",""
"6/20/2025 2:30:00 PM","37.00","59.75","6.90",""
"6/20/2025 2:45:00 PM","36.97","59.76","6.90",""
"6/20/2025 3:00:00 PM","36.98","59.99","6.90",""
"6/20/2025 3:15:00 PM","36.96","59.83","6.90",""
"6/20/2025 3:30:00 PM","37.08","59.75","6.89",""
"6/20/2025 3:45:00 PM","37.01","59.58","6.89",""
"6/20/2025 4:00:00 PM","36.98","59.95","6.89",""
"6/20/2025 4:15:00 PM","37.06","59.92","6.89",""
"6/20/2025 4:30:00 PM","36.95","59.31","6.89",""
"6/20/2025 4:45:00 PM","36.98","59.49","6.89",""
"6/20/2025 5:00:00 PM","36.97","60.11","6.89",""
"6/20/2025 5:15:00 PM","37.06","60.46","6.89",""
"6/20/2025 5:30:00 PM","37.01","60.03","6.89",""
"6/20/2025 5:45:00 PM","37.04","59.71","6.89",""
"6/20/2025 6:00:00 PM","37.05","60.77","6.89",""
"6/20/2025 6:15:00 PM","36.99","60.33","6.89",""
"6/20/2025 6:30:00 PM","36.97","60.67","6.89",""
"6/20/2025 6:45:00 PM","37.07","60.62","6.89",""
"6/20/2025 7:00:00 PM","36.96","60.89","6.89",""
"6/20/2025 7:15:00 PM","37.03","60.71","6.89",""
"6/20/2025 7:30:00 PM","37.01","60.16","6.89",""
"6/20/2025 7:45:00 PM","37.02","59.63","6.89",""
"6/20/2025 8:00:00 PM","37.06","60.07","6.89",""
"6/20/2025 8:15:00 PM","37.02","60.10","6.88",""
"6/20/2025 8:30:00 PM","37.03","60.29","6.88",""
"6/20/2025 8:45:00 PM","36.96","60.18","6.88",""
"6/20/2025 9:00:00 PM","37.01","60.74","6.88",""
"6/20/2025 9:15:00 PM","37.02","60.64","6.88",""
"6/20/2025 9:30:00 PM","36.98","60.50","6.88",""
"6/20/2025 9:45:00 PM","36.97","60.38","6.88",""
"6/20/2025 10:00:00 PM","37.01","60.62","6.88",""
"6/20/2025 10:15:00 PM","36.96","60.23","6.88",""
"6/20/2025 10:30:00 PM","37.04","60.09","6.88",""
"6/20/2025 10:45:00 PM","36.95","59.85","6.88",""
"6/20/2025 11:00:00 PM","37.03","60.72","6.88",""
"6/20/2025 11:15:00 PM","37.00","60.47","6.88",""
"6/20/2025 11:30:00 PM","36.97","60.29","6.88",""
"6/20/2025 11:45:00 PM","36.95","60.54","6.88",""
"6/21/2025 12:00:00 AM","37.09","60.54","6.88",""
"6/21/2025 12:15:00 AM","37.03","60.35","6.88",""
"6/21/2025 12:30:00 AM","37.02","59.80","6.88",""
"6/21/2025 12:45:00 AM","37.01","59.82","6.88",""
"6/21/2025 1:00:00 AM","37.00","60.24","6.88",""
"6/21/2025 1:15:00 AM","37.00","59.94","6.88",""
"6/21/2025 1:30:00 AM","36.99","60.36","6.88",""
"6/21/2025 1:45:00 AM","36.99","59.98","6.88",""
"6/21/2025 2:00:00 AM","37.04","60.48","6.88",""
"6/21/2025 2:15:00 AM","37.08","60.21","6.88",""
"6/21/2025 2:30:00 AM","37.01","59.41","6.88",""
"6/21/2025 2:45:00 AM","36.99","59.37","6.88",""
"6/21/2025 3:00:00 AM","36.97","60.04","6.88",""
"6/21/2025 3:15:00 AM","36.94","60.58","6.88",""
"6/21/2025 3:30:00 AM","36.96","59.96","6.88",""
"6/21/2025 3:45:00 AM","37.05","59.69","6.88",""
"6/21/2025 4:00:00 AM","36.95","60.40","6.88",""
"6/21/2025 4:15:00 AM","37.02","60.18","6.87",""
"6/21/2025 4:30:00 AM","37.01","59.59","6.87",""
"6/21/2025 4:45:00 AM","37.09","59.91","6.87",""
"6/21/2025 5:00:00 AM","36.92","60.92","6.87",""
"6/21/2025 5:15:00 AM","36.97","60.47","6.87",""
"6/21/2025 5:30:00 AM","36.97","60.14","6.87",""
"6/21/2025 5:45:00 AM","37.00","60.22","6.87",""
"6/21/2025 6:00:00 AM","36.98","60.60","6.87",""
"6/21/2025 6:15:00 AM","37.06","60.28","6.87",""
"6/21/2025 6:30:00 AM","37.04","59.99","6.87",""
"6/21/2025 6:45:00 AM","37.03","59.99","6.87",""
"6/21/2025 7:00:00 AM","37.03","60.87","6.87",""
"6/21/2025 7:15:00 AM","36.99","60.19","6.87",""
"6/21/2025 7:30:00 AM","36.99","59.81","6.87",""
"6/21/2025 7:45:00 AM","36.97","59.96","6.87",""
"6/21/2025 8:00:00 AM","36.94","60.74","6.87",""
"6/21/2025 8:15:00 AM","36.97","60.55","6.87",""
"6/21/2025 8:30:00 AM","37.02","59.76","6.87",""
"6/21/2025 8:45:00 AM","37.08","60.01","6.87",""
"6/21/2025 9:00:00 AM","36.98","60.53","6.87",""
"6/21/2025 9:15:00 AM","37.05","60.45","6.87",""
"6/21/2025 9:30:00 AM","37.03","60.49","6.87",""
"6/21/2025 9:45:00 AM","37.02","60.21","6.87",""
"6/21/2025 10:00:00 AM","37.01","61.10","6.88",""
"6/21/2025 10:15:00 AM","36.99","60.41","6.88",""
"6/21/2025 10:30:00 AM","37.02","60.75","6.88",""
"6/21/2025 10:45:00 AM","36.97","60.51","6.88",""
"6/21/2025 11:00:00 AM","37.06","60.85","6.88",""
"6/21/2025 11:15:00 AM","37.04","60.63","6.88",""
"6/21/2025 11:30:00 AM","36.99","60.16","6.88",""
"6/21/2025 11:45:00 AM","36.94","59.90","6.88",""
"6/21/2025 12:00:00 PM","36.95","61.02","6.88",""
"6/21/2025 12:15:00 PM","37.02","60.61","6.88",""
"6/21/2025 12:30:00 PM","37.01","60.42","6.88",""
"6/21/2025 12:45:00 PM","37.02","59.96","6.88",""
"6/21/2025 1:00:00 PM","36.98","60.81","6.88",""
"6/21/2025 1:15:00 PM","36.95","60.27","6.88",""
"6/21/2025 1:30:00 PM","37.04","60.75","6.88",""
"6/21/2025 1:45:00 PM","36.92","59.63","6.88",""
"6/21/2025 2:00:00 PM","36.89","60.59","6.88",""
"6/21/2025 2:15:00 PM","36.91","59.83","6.88",""
"6/21/2025 2:30:00 PM","36.98","59.90","6.88",""
"6/21/2025 2:45:00 PM","36.95","59.73","6.88",""
"6/21/2025 3:00:00 PM","36.99","60.36","6.88",""
"6/21/2025 3:15:00 PM","37.07","59.29","6.88",""
"6/21/2025 3:30:00 PM","37.02","59.87","6.88",""
"6/21/2025 3:45:00 PM","37.03","59.91","6.88",""
"6/21/2025 4:00:00 PM","36.94","60.69","6.88",""
"6/21/2025 4:15:00 PM","37.02","60.85","6.88",""
"6/21/2025 4:30:00 PM","36.99","60.88","6.88",""
"6/21/2025 4:45:00 PM","37.03","60.42","6.88",""
"6/21/2025 5:00:00 PM","36.94","60.84","6.88",""
"6/21/2025 5:15:00 PM","36.97","60.18","6.89",""
"6/21/2025 5:30:00 PM","36.96","59.93","6.89",""
"6/21/2025 5:45:00 PM","37.06","59.88","6.89",""
"6/21/2025 6:00:00 PM","36.97","61.73","6.89",""
"6/21/2025 6:15:00 PM","36.95","60.47","6.92",""
"6/21/2025 6:30:00 PM","37.02","60.28","6.93",""
"6/21/2025 6:45:00 PM","36.98","60.49","6.92",""
"6/21/2025 7:00:00 PM","36.99","61.27","6.91",""
"6/21/2025 7:15:00 PM","36.95","60.16","6.91",""
"6/21/2025 7:30:00 PM","37.07","60.03","6.90",""
"6/21/2025 7:45:00 PM","36.99","60.21","6.90",""
"6/21/2025 8:00:00 PM","36.99","60.95","6.90",""
"6/21/2025 8:15:00 PM","37.06","60.46","6.90",""
"6/21/2025 8:30:00 PM","37.02","59.83","6.89",""
"6/21/2025 8:45:00 PM","36.99","60.32","6.89",""
"6/21/2025 9:00:00 PM","36.99","60.83","6.89",""
"6/21/2025 9:15:00 PM","36.97","60.19","6.89",""
"6/21/2025 9:30:00 PM","36.96","59.82","6.89",""
"6/21/2025 9:45:00 PM","37.03","59.91","6.89",""
"6/21/2025 10:00:00 PM","36.99","60.60","6.88",""
"6/21/2025 10:15:00 PM","36.98","59.93","6.88",""
"6/21/2025 10:30:00 PM","36.98","59.75","6.88",""
"6/21/2025 10:45:00 PM","37.03","59.70","6.88",""
"6/21/2025 11:00:00 PM","36.97","60.29","6.88",""
